Count,x,y,z,w,phi,theta,mocap_psi,psi
138,0.002739486284554,0.486502021551132,0.0550844445824623,-0.871936976909637,0.092440918187171,-1.0135222177073,0.177522464088226,0.177522464088226
139,0.00308374175801873,0.491150438785553,0.0548541992902756,-0.869340419769287,0.0934841721136759,-1.02418753876375,0.178604853177445,0.178604853177445
140,0.00321532436646521,0.500381886959076,0.0547636225819588,-0.864065229892731,0.0983345190275541,-1.04530428443634,0.183268684576803,0.183268684576803
141,0.00348268751986325,0.505025446414948,0.0546091087162495,-0.861368119716644,0.100013830780822,-1.05602634494296,0.18499203223304,0.18499203223304
142,0.00347413402050734,0.509708881378174,0.0543451048433781,-0.858621776103973,0.102548183876101,-1.06682549693847,0.187008563483697,0.187008563483697
143,0.00386187899857759,0.51435387134552,0.0544166080653667,-0.855841100215912,0.104467910122775,-1.07761395973754,0.189482646522396,0.189482646522396
144,0.0039649149402976,0.51893937587738,0.0545004419982433,-0.853062748908997,0.107522961788657,-1.08823177155186,0.192697766781646,0.192697766781646
145,0.00421377643942833,0.52363646030426,0.0543159395456314,-0.850198149681091,0.109658771123081,-1.09920669094969,0.194813626008916,0.194813626008916
146,0.00471196649596095,0.528235077857971,0.0544945187866688,-0.847334623336792,0.111747060482353,-1.10999663575209,0.19777681897073,0.19777681897073
147,0.0050205597653985,0.532867848873138,0.0546682849526405,-0.844415783882141,0.114718451552723,-1.1208558386508,0.201340431736434,0.201340431736434
148,0.00555454008281231,0.537577033042908,0.0545021034777164,-0.841433107852936,0.116192868237076,-1.13202807947725,0.203238954584718,0.203238954584718
149,0.00587369315326214,0.542264461517334,0.0544931143522263,-0.838418245315552,0.119023426260739,-1.14311303904131,0.206412635248989,0.206412635248989
150,0.00607084529474378,0.546902120113373,0.0547108352184296,-0.835384964942932,0.123091660223876,-1.15405243100844,0.210978687938981,0.210978687938981
151,0.00641081482172012,0.551658451557159,0.0545333214104176,-0.832260727882385,0.125836030871714,-1.16540105956972,0.213853867214562,0.213853867214562
152,0.00698897615075111,0.556375324726105,0.0546631254255772,-0.829101741313934,0.128587706230717,-1.17670926309538,0.217526683265796,0.217526683265796
153,0.00718692457303405,0.56101006269455,0.0548101887106895,-0.825961172580719,0.133174662172035,-1.18775681671483,0.222514469471208,0.222514469471208
154,0.00819717906415463,0.570297956466675,0.0552605874836445,-0.819536030292511,0.141004794967796,-1.21014000686821,0.232258463262822,0.232258463262822
155,0.00848871748894453,0.57487154006958,0.055645115673542,-0.816305339336395,0.146821935835609,-1.22112686588837,0.238957534861514,0.238957534861514
156,0.00733181834220886,0.579503417015076,0.0555880777537823,-0.813038766384125,0.158613082024272,-1.23193135690448,0.248918612806469,0.248918612806469
157,0.00952963065356016,0.588337242603302,0.0569568984210491,-0.806550920009613,0.166386419697211,-1.25366354255379,0.261643156699007,0.261643156699007
158,0.0108543299138546,0.592424750328064,0.0577480867505074,-0.803480088710785,0.16952942769692,-1.26383656950923,0.267741373577914,0.267741373577914
159,0.0118912560865283,0.596345722675324,0.0586450509727001,-0.800494372844696,0.174681699223354,-1.27351853499205,0.275590091112731,0.275590091112731
160,0.0127779142931104,0.600221276283264,0.0593068413436413,-0.797529816627502,0.18006080745807,-1.28311524188338,0.283113419121994,0.283113419121994
161,0.013950863853097,0.603898882865906,0.0603416562080383,-0.794651091098785,0.185496555531473,-1.29226940119176,0.291639001198421,0.291639001198421
162,0.0142165925353766,0.607524871826172,0.0612242035567761,-0.791809916496277,0.195895262985146,-1.30101538978128,0.3036147801993,0.3036147801993
163,0.0151951285079122,0.611090362071991,0.0622590854763985,-0.788962244987488,0.203400960342225,-1.30985120918405,0.313933008259228,0.313933008259228
164,0.0161434207111597,0.614674508571625,0.0634017810225487,-0.786062955856323,0.212325319173561,-1.31870399982752,0.325779639817061,0.325779639817061
165,0.0173979233950377,0.618240416049957,0.0644933879375458,-0.783145487308502,0.219816445159925,-1.32766271439805,0.336555579753808,0.336555579753808
166,0.0180339347571135,0.621723353862762,0.0656670555472374,-0.780270934104919,0.232224527930138,-1.33613761741098,0.351485725028159,0.351485725028159
167,0.0187307465821505,0.625163555145264,0.0667966827750206,-0.77740466594696,0.244914178951485,-1.34453674474077,0.366721665987013,0.366721665987013
168,0.0192013178020716,0.62851756811142,0.0679420828819275,-0.774584293365479,0.260042032200463,-1.35259710097778,0.3840980451706,0.3840980451706
169,0.019553404301405,0.631896436214447,0.0690793991088867,-0.771720588207245,0.277351064526434,-1.36063074392472,0.403475609300327,0.403475609300327
170,0.0198829714208841,0.635251462459564,0.0700943917036057,-0.768860816955566,0.295484759970529,-1.36859741424969,0.423472393920119,0.423472393920119
171,0.0196824837476015,0.638540208339691,0.0712433606386185,-0.76603102684021,0.319672459957367,-1.37600235437397,0.448963372440193,0.448963372440193
172,0.0198832750320435,0.642001688480377,0.0718997120857239,-0.763065457344055,0.340582148571165,-1.3841811027649,0.471042493233396,0.471042493233396
173,0.0196824595332146,0.645364820957184,0.0727403461933136,-0.760148525238037,0.367325083728654,-1.39172519564581,0.498650677518768,0.498650677518768
174,0.0192872509360313,0.648511350154877,0.0740599781274796,-0.757348120212555,0.399947423012133,-1.39827171203601,0.532550161928596,0.532550161928596
175,0.0189762189984322,0.65183424949646,0.0749695599079132,-0.754408061504364,0.432970047321624,-1.40534035331233,0.566384308692397,0.566384308692397
176,0.0185380522161722,0.655170679092407,0.0757224783301353,-0.751447916030884,0.469051297725081,-1.41226773581836,0.602875510639014,0.602875510639014
177,0.0181155484169722,0.658501029014587,0.0764626637101173,-0.74846625328064,0.508236183456588,-1.41900548932694,0.64247688858589,0.64247688858589
178,0.0175852943211794,0.661810457706451,0.0771560594439507,-0.745482861995697,0.551482464019282,-1.42541167598811,0.685922969346167,0.685922969346167
179,0.017135301604867,0.665110290050507,0.0778330639004707,-0.742480099201202,0.597860526394124,-1.43161348421246,0.732593839197384,0.732593839197384
180,0.0165524650365114,0.668573260307312,0.0781874880194664,-0.739339292049408,0.649352628093031,-1.43798319819744,0.78373220040797,0.78373220040797
181,0.0161019172519445,0.671985685825348,0.0785582289099693,-0.736209630966187,0.70432564773559,-1.44401885703429,0.838565481812291,0.838565481812291
182,0.0153310978785157,0.675360321998596,0.0789908394217491,-0.733085215091705,0.767383197703271,-1.44919178524416,0.901121148243371,0.901121148243371
183,0.0151193402707577,0.678937077522278,0.0790488719940186,-0.729771971702576,0.832259123592024,-1.45522295522776,0.965754854671224,0.965754854671224
184,0.0145496027544141,0.682685971260071,0.0790271684527397,-0.726280212402344,0.909963343414047,-1.46066967225331,1.04259895511515,1.04259895511515
185,0.0141232861205935,0.686471045017242,0.0790350139141083,-0.722711205482483,0.995591762648753,-1.46561096357632,1.1276157724768,1.1276157724768
186,0.0133266914635897,0.69029575586319,0.0791759714484215,-0.719058752059937,1.09343241986978,-1.46913132329707,1.22451395147081,1.22451395147081
187,0.0140880569815636,0.694100558757782,0.079724557697773,-0.715311169624329,1.19177267387986,-1.47320721309938,1.32469967631888,1.32469967631888
188,0.0128651363775134,0.702192664146423,0.0794699117541313,-0.707421064376831,1.42704774418322,-1.4762780068877,1.5578684408052,1.5578684408052
189,0.0121455751359463,0.706392168998718,0.0790275782346725,-0.703290343284607,1.55255428421245,-1.47607382036623,1.68172712123343,1.68172712123343
